"","bowler","adj_avg_bowl_rd","adj_bowl_rd","balls","avg_bowl_rd","total_bowl_rd","econ","bat_adj_bowl_avg","adj_bowl_avg","wickets","strike_rate","bowl_average"
"1","R Ashwin",-0.307319052958619,-90.351801569834,309,-0.195562617042693,-57.4954094105517,7.51020408163265,-0.321503911164191,-0.236135419715597,14,113.915857605178,25.1428571428571
"2","CV Varun",-0.218490674982745,-69.0430532945473,323,-0.204466601604794,-64.6114461071149,8.14556962025316,-0.453384505360042,-0.37689381456381,20,129.102167182663,20.85
"3","AR Patel",-0.231382911135716,-65.2499809402719,288,-0.168774087095711,-47.5942925609906,7.19148936170213,-0.118351586107589,-0.0561977255538771,11,113.888888888889,29.8181818181818
"4","PP Chawla",-0.157954949061022,-57.8115113563339,371,-0.09557115507901,-34.9790427589176,8.11475409836066,-0.471299232242895,-0.384198541993736,22,132.075471698113,22.2727272727273
"5","Mohammed Siraj",-0.179463549158011,-53.8390647474032,329,-0.238802352660301,-71.6407057980904,7.5,-0.345133783625318,-0.370991733144101,19,103.647416413374,17.9473684210526
"6","RD Chahar",-0.161650990988935,-48.1719953147027,301,-0.129859066442268,-38.6980017997959,7.75167785234899,0.327867481616113,0.450095116099466,8,126.910299003322,47.75
"7","Noor Ahmad",-0.159138963085816,-45.0363265532859,299,-0.152199295374042,-43.0724005908538,7.82332155477032,-0.37210679264713,-0.276011884312428,16,118.060200668896,22.0625
"8","Kuldeep Yadav",-0.139253005318744,-40.9403835637109,300,-0.15540446955055,-45.6889140478616,7.36734693877551,0.0782807387654032,0.158274656427164,10,118.333333333333,35.5
"9","SP Narine",-0.131890513178698,-37.9844677954651,296,-0.15435658698844,-44.4546970526707,7.97916666666667,-0.0419640034802774,0.0468777346935885,11,126.351351351351,34
"10","Harpreet Brar",-0.230423972569579,-37.5591075288413,166,-0.140942319558541,-22.9735980880421,8.02453987730061,-0.382363050839395,-0.323866908820445,9,129.518072289157,23.8888888888889
"11","Suyash Sharma",-0.157514875888888,-36.8584809579998,239,-0.143266856767206,-33.5244444835263,8.23076923076923,-0.153070840675768,0.00538580702733344,10,132.217573221757,31.6
"12","DJ Willey",-0.40685560327071,-36.6170042943639,94,-0.418752146352374,-37.6876931717137,7,-0.0431650304475388,-0.0920841072734958,3,107.446808510638,33.6666666666667
"13","YS Chahal",-0.105862049337806,-33.5582696400844,326,-0.126086955680011,-39.9695649505635,8.17665615141956,-0.380465417034664,-0.343444447014926,21,129.754601226994,20.1428571428571
