"","striker","adj_avg_bat_rd","adj_bat_rd","avg_bat_rd","total_bat_rd","balls","strike_rate","adj_exp","exp_avg","runs","dismissals","bat_average","adj_bat_avg","bowl_adj_bat_avg"
"1","SA Yadav",0.326829883957351,109.161181241755,0.315030410790717,105.2201572041,334,181.137724550898,33.1539125944946,33.1948330761261,605,14,43.2142857142857,0.301837717188754,0.303444520797275
"2","YBK Jaiswal",0.257599506630515,98.4030115328569,0.276936677016513,105.789810620308,382,163.612565445026,36.3984261337224,34.1192322449762,625,13,48.0769230769231,0.40908572419598,0.320851701122889
"3","Shubman Gill",0.155997360716964,87.9825114443679,0.150769192036345,85.0338243084988,564,157.801418439716,33.0671160476703,32.2790558541393,890,15,59.3333333333333,0.838137199596091,0.794330453487297
"4","GJ Maxwell",0.39629262205923,86.3917916089122,0.338677601292996,73.8317170818732,218,183.48623853211,32.3450836419887,33.3323392722025,400,12,33.3333333333333,2.98227232926318e-05,0.0305533200124966
"5","H Klaasen",0.312515873790917,79.0665160691021,0.338587681625502,85.6626834512519,253,177.075098814229,28.4612390320018,26.5126990698491,448,9,49.7777777777778,0.87750698812805,0.748967348955106
"6","AM Rahane",0.369245335950465,69.787368494638,0.345041191329618,65.2127851612978,189,172.486772486772,34.8162660866746,32.4140781672579,326,10,32.6,0.00573583588534246,-0.0636560532125208
"7","N Pooran",0.335749536160429,69.5001539852088,0.325096381754653,67.2949510232133,207,172.946859903382,21.2014040808156,22.0800383140672,358,12,29.8333333333333,0.351144998436282,0.407139509233184
"8","RD Gaikwad",0.163608115631582,65.4432462526329,0.190439051564275,76.1756206257099,400,147.5,36.8141958496913,30.6685617116148,590,14,42.1428571428571,0.374138687661272,0.144744742352168
"9","F du Plessis",0.106096239177518,50.3957136093211,0.117942759454712,56.0228107409881,475,153.684210526316,41.5207932202178,33.4978883994699,730,13,56.1538461538462,0.676339878030483,0.35242710455982
"10","KR Mayers",0.178893216593663,47.0489159641335,0.224625587351949,59.0765294735625,263,144.106463878327,29.239536872935,29.3111483552032,379,13,29.1538461538462,-0.00536663386404365,-0.00293064556601034
"11","MP Stoinis",0.161722560743564,43.9885365222495,0.189458330217329,51.5326658191135,272,150,30.9005920949446,25.8945318351731,408,13,31.3846153846154,0.21201710015027,0.0156638839858972
"12","P Simran Singh",0.170120602768428,40.4887034588859,0.189295059072749,45.0522240593144,238,150.420168067227,37.9726205666318,33.8739319702793,358,14,25.5714285714286,-0.245100078908327,-0.326582464158417
"13","S Dube",0.149109540569746,39.364918710413,0.151382755127121,39.9650473535599,264,158.333333333333,28.0197281078245,25.5989156172229,418,11,38,0.484437878862089,0.356187321082123
